Income (Median household income) by State
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2020-2024"
Sorted by Value

State,FIPS,Dollars,Rank within US (of 52 states)
"United States",00000,"80,734","N/A"
"Puerto Rico",72001,"26,297","52"
"Mississippi",28000,"56,447","51"
"West Virginia",54000,"59,608","50"
"Louisiana",22000,"60,756","49"
"Arkansas",05000,"60,773","48"
"Kentucky",21000,"63,726","47"
"Alabama",01000,"63,999","46"
"New Mexico",35000,"64,059","45"
"Oklahoma",40000,"65,039","44"
"South Carolina",45000,"69,324","43"
"Tennessee",47000,"69,595","42"
"Missouri",29000,"70,702","41"
"Ohio",39000,"71,389","40"
"Indiana",18000,"71,957","39"
"North Carolina",37000,"72,388","38"
"Montana",30000,"72,509","37"
"Michigan",26000,"72,875","36"
"Kansas",20000,"74,275","35"
"Florida",12000,"74,568","34"
"Maine",23000,"74,733","33"
"Iowa",19000,"75,059","32"
"South Dakota",46000,"75,081","31"
"Wyoming",56000,"76,176","30"
"Nebraska",31000,"76,475","29"
"North Dakota",38000,"76,657","28"
"Georgia",13000,"77,353","27"
"Wisconsin",55000,"77,485","26"
"Idaho",16000,"77,800","25"
"Pennsylvania",42000,"77,971","24"
"Nevada",32000,"78,260","23"
"Texas",48000,"78,476","22"
"Arizona",04000,"79,964","21"
"Vermont",50000,"81,203","20"
"Oregon",41000,"83,011","19"
"Illinois",17000,"83,390","18"
"Delaware",10000,"84,954","17"
"New York",36000,"85,974","16"
"Rhode Island",44000,"87,796","15"
"Minnesota",27000,"89,062","14"
"Alaska",02900,"92,788","13"
"Virginia",51000,"93,170","12"
"Utah",49000,"95,166","11"
"Colorado",08000,"95,470","10"
"Connecticut",09000,"95,781","9"
"Washington",53000,"98,141","8"
"New Hampshire",33000,"99,031","7"
"California",06000,"99,122","6"
"Hawaii",15000,"100,389","5"
"New Jersey",34000,"103,556","4"
"Maryland",24000,"103,678","3"
"Massachusetts",25000,"103,960","2"
"District of Columbia",11001,"109,870","1"

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 7/9/2026. Available from https://hdpulse.nimhd.nih.gov

Notes:
"NA: Data not available [http://hdpulse.nimhd.nih.gov/data/datanotavailable.html] for this combination of geography, cancer site, age, and race/ethnicity."
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income (Median household income), see the dictionary at http://hdpulse.nimhd.nih.gov/dictionary.php#income."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
